"","ASV1","ASV3","ASV6","ASV7","ASV8","ASV9","ASV10","ASV11","ASV13","ASV14","ASV15","ASV16","ASV17","ASV18","ASV19","ASV21","ASV22","ASV23","ASV26","ASV27","ASV28","ASV29","ASV30","ASV31","ASV32","ASV33","ASV34","ASV35","ASV36","ASV38","ASV39","ASV40","ASV41","ASV42","ASV43","ASV44","ASV45","ASV46","ASV47","ASV48","ASV49","ASV50","ASV51","ASV52","ASV53","ASV54","ASV55","ASV57","ASV59","ASV61","ASV62","ASV63","ASV64","ASV66","ASV67","ASV68","ASV69","ASV70","ASV71","ASV73","ASV74","ASV75","ASV77","ASV78","ASV79","ASV82","ASV83","ASV84","ASV85","ASV86","ASV87","ASV88","ASV89","ASV91","ASV92","ASV93","ASV94","ASV95","ASV96","ASV97","ASV98","ASV99","ASV100","ASV101","ASV103","ASV104","ASV105","ASV106","ASV107","ASV109","ASV110","ASV111","ASV112","ASV114","ASV115","ASV116","ASV117","ASV118","ASV119","ASV120","ASV123","ASV124","ASV125","ASV126","ASV128","ASV129","ASV130","ASV131","ASV133","ASV134","ASV135","ASV136","ASV137","ASV138","ASV139","ASV140","ASV143","ASV145","ASV146","ASV147","ASV148","ASV149","ASV151","ASV152","ASV153","ASV155","ASV156","ASV157","ASV159","ASV160","ASV161","ASV162","ASV164","ASV166","ASV168","ASV169","ASV171","ASV172","ASV174","ASV175","ASV176","ASV177","ASV178","ASV179","ASV180","ASV181","ASV182","ASV183","ASV184","ASV185","ASV186","ASV188","ASV189","ASV190","ASV191","ASV192","ASV193","ASV194","ASV195","ASV196","ASV198","ASV199","ASV200","ASV201","ASV202","ASV203","ASV204","ASV206","ASV207","ASV208","ASV209","ASV211","ASV212","ASV214","ASV217","ASV218","ASV219","ASV220","ASV221","ASV222","ASV223","ASV224","ASV225","ASV226","ASV228","ASV231","ASV232","ASV233","ASV234","ASV235","ASV236","ASV237","ASV239","ASV240","ASV241","ASV242","ASV243","ASV244","ASV245","ASV246","ASV247","ASV248","ASV249","ASV250","ASV251","ASV253","ASV254","ASV255","ASV256","ASV257","ASV258","ASV259","ASV261","ASV262","ASV263","ASV264","ASV267","ASV268","ASV269","ASV270","ASV271","ASV272","ASV274","ASV275","ASV276","ASV277","ASV278","ASV279","ASV281","ASV282","ASV284","ASV285","ASV286","ASV287","ASV288","ASV289","ASV290","ASV291","ASV292","ASV293","ASV294","ASV295","ASV297","ASV298","ASV299","ASV300","ASV301","ASV302","ASV303","ASV304","ASV305","ASV306","ASV307","ASV309","ASV310","ASV311","ASV312","ASV313","ASV314","ASV315","ASV316","ASV317","ASV318","ASV319","ASV320","ASV322","ASV323","ASV324","ASV325","ASV326","ASV327","ASV328","ASV329","ASV330","ASV331","ASV332","ASV333","ASV334","ASV335","ASV336","ASV337","ASV338","ASV339","ASV340","ASV341","ASV342","ASV343","ASV344","ASV345","ASV346","ASV347","ASV348","ASV350","ASV351","ASV353","ASV354","ASV355","ASV356","ASV357","ASV360","ASV362","ASV363","ASV364","ASV365","ASV366","ASV367","ASV368","ASV369","ASV371","ASV372","ASV373","ASV374","ASV375","ASV376","ASV377","ASV378","ASV379","ASV380","ASV381","ASV382","ASV383","ASV384","ASV385","ASV386","ASV387","ASV389","ASV390","ASV393","ASV395","ASV397","ASV398","ASV399","ASV400","ASV401","ASV402","ASV403","ASV404","ASV405","ASV406","ASV407","ASV408","ASV409","ASV410","ASV411"
"T21-S-1",239,105,130,6,21,16,75,222,24,75,0,118,0,0,0,25,18,40,0,0,0,67,0,137,133,0,69,31,0,30,0,0,9,37,297,9,0,0,0,134,0,9,0,39,21,46,18,34,72,0,0,38,52,0,0,18,0,14,106,0,0,0,0,0,26,37,57,0,4,1,0,81,0,3,0,0,0,23,0,48,6,39,153,18,0,53,11,119,0,38,39,13,0,0,0,9,22,12,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,13,0,0,12,5,0,0,18,0,0,0,0,34,0,28,0,0,0,18,17,0,0,27,46,20,16,13,53,0,17,0,0,0,0,0,0,0,22,0,0,0,18,0,9,28,0,30,6,0,21,42,14,0,0,0,0,21,0,0,10,0,0,18,0,0,31,39,0,0,0,28,26,0,28,0,8,0,50,10,0,0,17,15,0,0,0,0,5,0,20,0,7,0,16,0,0,22,0,55,0,55,0,0,0,20,0,41,0,0,0,0,0,0,0,22,0,0,33,30,0,0,0,0,24,23,0,0,23,19,0,0,0,0,0,0,0,0,16,0,0,15,18,0,10,0,14,17,0,9,0,0,0,0,0,0,0,0,0,20,0,0,11,0,0,0,0,12,0,14,16,0,5,7,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,9,13,0,3,0,0,17,0,38,0,0,26,0,0,0,0,26,0,5,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,9,0,0,0,0,0,0
"T21-S-2",230,148,41,0,15,0,71,85,6,30,10,939,0,0,0,37,6,39,0,0,15,39,0,58,90,0,56,7,0,37,0,0,30,406,26,15,0,0,15,95,0,0,0,35,10,31,0,30,45,0,0,67,105,0,0,12,0,46,51,9,0,0,13,0,36,42,42,0,0,0,0,46,0,0,0,0,0,70,20,0,8,24,10,16,0,17,16,86,0,30,22,25,0,0,0,7,16,29,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,12,0,0,18,0,0,0,33,0,0,0,0,19,0,38,0,0,0,0,0,20,0,36,47,51,4,15,41,0,32,0,0,0,0,20,0,0,15,0,0,0,0,0,0,31,0,6,39,0,34,37,30,0,0,0,0,30,0,9,0,0,4,14,0,0,14,33,0,0,0,0,0,0,22,0,12,0,31,10,36,0,0,0,0,0,0,0,0,0,13,0,4,0,15,0,0,12,0,50,16,41,0,0,10,26,7,36,0,0,0,0,0,0,0,25,0,0,7,30,0,0,0,3,20,0,4,0,20,17,3,0,0,0,0,0,4,0,10,0,0,0,43,0,0,0,34,27,0,17,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4,0,4,0,11,1,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,20,0,10,0,0,0,5,0,0,0,0,0,0
"T3-1",38,20,0,1381,102,105,51,30,19,0,130,0,151,644,322,0,0,0,45,27,19,0,197,20,0,43,31,17,1,8,12,11,86,0,0,73,23,0,31,0,0,187,159,0,7,0,0,0,0,22,0,0,0,28,18,0,0,0,0,8,0,0,9,0,4,10,0,12,0,0,0,0,10,19,10,26,0,0,0,0,6,0,0,0,7,0,35,0,0,0,0,0,37,11,17,0,0,0,0,0,0,0,0,9,8,0,0,0,21,0,8,0,4,0,46,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,61,12,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,48,0,49,0,16,0,0,0,0,0,9,26,16,2,0,0,0,0,10,0,0,0,0,0,0,7,0,0,0,0,0,0,0,27,0,0,0,27,27,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,11,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,6,12,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,14,0,0,0,0,0,4,0,0
"T3-15",1346,708,0,0,73,144,122,8,12,0,39,0,61,13,0,111,0,0,56,62,0,0,0,0,0,45,0,83,0,67,0,0,0,0,0,32,46,44,19,12,0,0,0,0,33,0,21,0,0,32,0,0,0,34,0,31,27,0,0,0,56,0,0,41,0,0,0,28,34,0,80,0,37,0,0,30,0,0,70,0,26,0,0,0,0,0,16,0,0,0,0,0,0,29,15,62,54,0,17,0,19,51,0,0,28,0,18,0,0,0,0,45,6,0,0,0,0,16,0,19,0,0,21,22,0,0,25,0,5,0,0,0,0,0,0,0,0,0,21,0,0,30,0,0,0,0,10,0,0,23,0,18,22,0,0,0,0,5,0,0,0,18,0,0,0,32,34,0,3,0,0,21,0,7,0,0,0,0,0,0,0,8,15,0,0,0,0,0,0,23,0,0,0,0,0,0,0,14,0,0,22,0,0,0,0,0,0,0,0,5,180,0,0,0,0,28,0,3,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,10,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,36,0,12,0,0,0,0,28,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,18,0,4,25,0
"T3-3",1969,1011,0,104,51,303,72,9,32,0,145,0,49,49,22,0,0,0,16,12,0,0,0,0,0,34,0,0,0,0,78,0,0,0,0,22,9,16,7,0,0,0,0,0,44,0,30,0,0,23,0,0,0,11,0,10,25,0,0,8,0,0,35,0,0,27,0,3,0,0,0,20,58,0,0,0,0,0,0,27,24,0,0,0,0,0,10,0,38,0,0,0,0,0,0,3,6,0,0,0,7,9,0,0,0,0,0,0,0,43,0,10,0,0,20,0,0,0,0,0,0,0,21,21,0,4,0,0,1,41,0,0,29,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,18,18,24,0,0,40,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,17,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,11,0,0,0,0,0,0,4,0,0,0,0,0,17,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,16,0,7,0,6,0,9,0,0,0,0,0,0,0
"T3-6",1073,511,0,44,232,61,61,15,118,0,100,0,81,0,0,0,0,0,109,88,0,0,0,0,0,103,0,0,39,118,202,74,123,0,0,27,46,57,0,0,0,0,0,0,26,0,51,0,0,47,0,0,0,66,0,21,37,0,0,33,0,0,71,37,5,48,0,13,0,0,15,0,52,0,0,11,19,0,0,0,47,0,0,0,0,0,23,0,117,0,0,0,54,0,31,11,0,0,0,0,65,13,0,0,0,0,33,38,0,13,0,23,55,0,0,0,0,34,0,0,0,36,16,22,0,0,0,0,35,0,0,0,20,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,15,0,0,17,0,0,0,0,0,31,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,8,0,0,0,0,0,0,0,0,17,0,0,0,3,0,0,30,0,0,0,0,0,0,0,16,0,0,11,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,8,0,26,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,29,0,0,0,5,0,0,0,0,5,0,16,0,0,0,28,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,24,0,0,6,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0
"T3-S-1",112,64,305,0,0,0,56,173,9,194,0,100,0,0,0,22,222,154,5,0,0,83,0,79,118,1,117,29,0,17,4,6,14,50,0,2,0,0,26,52,109,0,0,103,6,56,6,42,54,0,276,38,39,0,0,43,7,14,44,5,10,0,0,0,46,27,39,0,0,14,0,38,0,0,0,0,0,9,13,17,17,26,6,37,0,43,4,20,0,73,50,14,0,0,0,8,11,17,0,0,0,0,18,0,0,62,0,0,0,0,0,1,0,31,0,133,13,0,12,0,45,0,0,0,8,14,0,26,0,0,0,13,6,32,0,46,23,16,18,32,14,0,12,0,0,0,0,0,0,0,0,0,0,0,8,0,22,28,0,7,12,14,12,0,13,0,0,0,0,21,0,0,35,0,0,10,0,0,0,12,0,0,0,18,29,0,15,0,7,0,7,5,0,10,17,14,35,0,0,7,6,15,0,0,21,0,51,0,0,5,0,13,0,0,0,0,11,11,8,0,0,0,0,0,0,0,0,16,5,0,21,0,0,0,9,4,4,5,21,0,11,24,0,17,0,0,0,0,14,0,2,0,12,11,5,10,9,9,14,9,0,8,0,0,0,0,20,0,0,0,0,1,15,0,19,0,0,8,3,0,0,18,9,0,5,0,16,0,0,0,4,0,2,0,0,0,13,0,0,0,0,0,3,3,0,6,0,16,4,0,14,0,0,3,0,3,0,5,0,0,4,0,0,0,15,0,0,0,8,0,0,7,0,0,0,0,3,0,4,0,53,7,0,0
"T3-S-2",111,75,359,0,11,8,94,50,2,200,0,287,0,9,5,21,211,35,0,0,8,123,0,30,89,0,64,36,0,0,0,0,8,121,0,0,0,0,18,54,97,0,0,63,0,30,0,52,17,0,606,13,26,0,4,50,0,91,28,0,11,0,0,0,90,31,32,0,0,7,7,51,0,34,0,4,0,8,0,23,4,12,0,5,8,45,5,16,0,43,25,21,0,0,0,4,7,19,0,0,0,0,15,0,0,39,0,0,0,0,0,11,0,24,0,279,12,0,0,0,18,0,0,0,0,21,0,17,0,0,0,9,0,45,0,22,18,0,17,23,6,0,21,0,0,0,0,12,0,0,0,0,0,0,13,0,16,10,0,9,11,0,20,19,11,0,0,0,6,26,68,0,4,0,0,7,0,0,18,5,0,0,0,11,35,0,17,5,4,0,0,2,0,6,27,13,24,0,0,5,2,0,6,0,2,0,25,6,0,0,0,18,0,0,0,0,12,6,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,3,6,6,0,0,18,14,0,0,0,0,0,0,19,0,4,0,0,16,16,0,4,0,9,10,0,0,0,0,0,3,4,0,0,0,0,3,12,1,0,0,0,0,0,0,0,15,0,0,0,0,8,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,11,0,11,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,33,0,0,0
"T7-15",1146,523,0,10,51,46,81,49,30,0,90,0,91,0,0,239,0,0,76,78,0,0,0,22,0,24,0,117,0,65,0,10,0,0,0,54,34,33,28,0,0,0,0,0,57,0,24,0,0,89,0,0,0,39,0,16,59,0,0,17,109,0,0,23,0,0,0,35,24,0,33,0,20,0,29,0,0,0,107,0,25,0,0,0,0,0,19,0,0,0,0,0,0,25,17,57,17,0,9,37,35,8,0,0,25,0,32,0,33,0,0,42,16,10,30,0,0,13,0,0,0,0,22,28,0,5,52,0,0,0,0,0,0,0,0,0,4,3,18,0,0,0,0,0,28,12,22,0,31,29,0,6,18,0,0,0,0,0,0,0,0,103,0,0,0,6,22,13,36,0,0,0,0,0,0,13,17,8,0,0,49,6,28,0,0,0,0,0,0,0,0,8,22,0,0,0,0,18,0,18,11,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,6,0,0,0,11,0,0,0,0,18,0,0,48,0,0,0,6,0,0,0,6,3,0,0,0,0,0,0,0,27,0,0,12,0,0,0,0,0,0,6,0,0,0,0,0,27,0,23,0,0,0,0,0,0,0,0,2,0,17,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,18,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"T7-3",724,346,0,122,28,93,86,25,118,0,468,0,60,52,32,61,0,0,0,29,44,0,164,11,0,21,0,12,0,0,97,55,0,0,0,25,32,35,25,0,0,412,19,0,56,0,29,0,0,39,0,0,0,0,14,4,12,0,41,5,33,0,8,0,6,49,0,12,7,0,0,26,85,31,6,0,0,0,0,45,37,0,0,0,20,0,0,0,46,0,0,0,0,0,10,2,10,0,13,0,0,7,0,10,0,0,2,0,8,70,0,15,4,0,22,0,0,14,0,9,0,0,13,38,0,0,32,0,15,40,0,0,37,0,0,0,0,14,10,0,0,0,0,0,0,0,17,0,18,19,61,6,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,39,0,14,0,0,8,3,6,0,0,4,0,0,0,0,0,0,0,21,0,0,24,0,0,0,0,0,0,7,0,24,0,0,0,4,0,0,0,0,0,0,18,0,0,7,0,0,0,0,11,9,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,10,0,34,0,0,0,0,0,0,0,1,0,0,0,19,0,0,9,0,25,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14,0,0,0,15,0,0,0,7,0,0,41,16,0,0,0,0,0,0,0,36,0,0,0,0,0,25,8,0,15,35,0,3,0,0,0,11,0,14,0,0,22,0,0,6,12,0,0,0,0,0,0,0,0,0
"T7-6",269,118,0,42,30,62,17,0,296,0,81,0,30,0,0,21,0,0,21,343,0,0,0,0,0,14,0,15,269,40,17,165,10,0,0,0,206,120,13,0,0,0,6,0,14,0,98,0,0,17,0,0,0,0,0,4,0,0,5,132,0,0,18,190,3,0,0,42,86,0,16,0,13,0,0,0,117,0,0,37,12,0,0,0,0,0,7,0,0,0,0,0,0,40,68,26,0,0,98,0,36,0,0,0,21,0,56,125,88,12,0,0,65,0,0,0,0,74,11,55,0,104,10,22,0,0,0,0,52,6,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,41,0,0,0,0,24,32,0,0,0,0,0,7,0,0,0,0,0,0,0,15,0,0,0,0,0,0,22,11,0,39,36,0,0,0,34,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,29,0,0,5,0,0,0,0,8,0,0,54,0,14,0,28,0,0,75,0,0,17,0,16,0,0,16,0,0,14,0,0,0,0,0,49,28,0,0,0,0,6,0,0,0,24,0,38,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,3,0,41,0,0,27,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,32,0,0,0,1,0,0,0,0,11,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,37,0,0,0,0,8,0,0,0,15,0,14,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"T7-S-1",126,50,506,4,0,27,30,170,12,259,0,50,0,0,0,32,46,117,0,0,0,149,0,81,153,0,83,13,0,0,0,4,7,13,184,21,0,0,0,87,30,6,0,42,7,76,0,85,38,0,0,62,51,0,0,13,19,49,55,0,17,35,0,0,47,27,34,0,0,42,0,19,0,0,0,0,0,62,0,19,3,42,77,32,0,20,2,42,0,13,31,44,6,0,0,3,13,38,0,0,0,0,8,0,0,26,0,0,0,0,0,11,0,29,6,0,21,0,0,0,19,0,0,0,37,20,6,24,1,0,27,64,0,19,17,15,11,15,4,11,13,0,25,0,0,0,0,20,0,0,6,0,0,0,20,0,16,12,0,37,19,1,12,8,11,0,0,0,0,7,77,0,12,0,0,12,0,0,17,16,0,0,0,23,27,0,0,0,16,0,14,2,2,17,0,5,15,0,0,9,0,18,4,0,13,0,8,34,0,3,0,13,0,19,0,0,4,7,13,16,0,0,0,0,0,0,2,16,19,0,9,9,0,0,21,9,9,9,0,0,12,25,0,33,0,0,0,5,28,0,4,0,13,0,9,20,6,0,15,3,0,18,0,0,0,0,0,0,0,0,0,17,0,0,3,0,0,3,0,0,0,7,5,0,15,0,12,0,2,0,20,0,12,0,0,0,14,0,0,6,0,0,6,27,0,2,0,0,18,0,11,0,7,11,0,0,0,2,13,0,17,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11,9,7,0,0,0,0
"T7-S-2",230,0,274,0,54,0,66,110,0,105,0,213,0,0,0,0,80,105,0,0,0,90,0,53,90,0,0,0,0,15,0,0,0,93,117,0,8,0,0,138,54,0,0,55,20,23,0,0,82,0,0,66,33,0,0,0,0,47,82,0,0,64,0,0,114,77,0,0,0,10,0,0,0,35,0,0,0,0,0,98,0,116,0,91,0,70,0,30,0,0,75,58,0,0,0,0,24,42,0,0,0,0,97,0,0,37,0,0,0,0,0,0,0,37,0,0,68,0,0,0,26,0,0,0,65,16,0,0,0,0,0,33,0,0,0,31,48,23,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,44,58,0,40,0,0,27,0,21,0,0,0,0,0,0,0,252,0,0,34,0,0,39,0,0,0,0,27,0,0,0,0,81,26,0,0,0,51,0,25,18,0,0,0,0,0,0,0,25,0,0,37,0,0,0,0,0,12,0,0,29,0,0,23,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,63,15,0,0,15,0,25,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,9,0,0,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,31,0,0,0,0,43,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T8-1",54,47,0,808,197,74,74,49,0,0,34,0,109,386,251,0,0,0,17,30,72,0,389,0,0,109,0,24,0,0,47,0,92,0,0,24,0,23,42,0,0,25,110,0,10,0,0,0,0,25,0,0,0,0,46,0,4,0,0,0,0,0,0,0,9,23,0,4,19,0,102,0,0,0,0,84,0,0,0,0,0,0,0,0,37,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,9,0,159,19,0,8,0,0,0,115,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,26,0,0,66,0,0,0,0,25,0,0,0,0,0,61,0,0,0,0,31,0,0,0,0,0,0,0,0,0,60,5,0,0,0,0,0,45,0,0,0,0,0,23,0,24,83,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,17,0,0,0,0,0,32,0,0,0,0,0,0,0,9,0,0,38,0,0,0,32,16,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,28,0,0,0,19,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,22,0,30,0,0,0,0,0,0,0,74,0,26,0,0,0,0,0,0,37,0,32,27,0,0,0,0,20,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,19,45,0,0,0,0,0,0,0
"T8-15",762,410,0,0,39,49,99,37,42,0,72,0,120,0,0,185,0,0,41,73,0,0,0,0,0,0,0,87,0,78,0,0,28,0,0,35,79,70,19,0,0,15,0,0,61,0,52,0,0,53,0,0,0,0,0,11,55,0,0,22,98,0,0,30,0,0,0,38,37,0,36,0,27,0,31,30,0,0,72,0,33,0,0,0,0,0,25,0,0,0,0,0,0,54,25,45,12,0,19,35,14,12,0,0,59,0,30,0,0,0,0,55,0,0,0,0,0,16,0,0,0,0,76,55,0,4,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,59,0,10,0,28,0,0,22,35,0,0,0,0,0,0,0,0,93,0,0,0,6,44,0,24,0,0,0,0,31,0,8,21,20,0,0,0,20,52,0,0,0,0,0,0,0,0,8,0,0,0,0,0,27,0,16,19,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,20,0,0,0,8,0,0,0,0,0,553,0,0,13,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0,0,0,0,13,0,8,4,0,0,0,0,0,0,0,0,0,0,0,16,13,0
"T8-3",663,340,0,213,54,142,109,0,303,0,249,0,74,95,24,79,0,0,0,52,30,0,102,0,0,28,60,0,8,0,88,142,0,0,0,99,48,57,0,21,0,41,0,0,0,0,94,0,0,11,0,0,0,7,32,153,0,0,48,0,0,0,0,0,0,0,0,11,23,0,0,0,57,0,19,0,0,0,0,0,0,0,0,0,0,0,25,0,36,0,0,0,37,11,12,0,0,0,0,0,17,0,0,0,0,0,0,0,33,72,0,0,0,0,0,0,0,11,27,32,0,0,0,40,0,0,35,0,18,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,22,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,58,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,16,14,0,79,0,0,0,0,0,0,0,5,0,0,27,6,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,16,0,0,0,0,0,0,23,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,58,0,0,0,0,0,0,21,33,0,0,0,0,0,0,0,27,0,0,21,0,0,0,0,0,0,20,0,22,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
"T8-S-1",121,86,360,0,0,20,85,159,0,181,0,179,0,0,0,42,82,80,0,0,0,118,0,75,174,0,68,19,0,4,0,0,32,95,13,12,0,8,0,112,45,0,0,86,0,44,0,59,25,0,0,96,73,0,0,18,39,68,74,0,13,57,8,0,35,49,73,3,0,32,0,39,0,0,0,5,0,20,0,7,0,68,0,35,0,26,9,20,0,20,42,20,0,15,0,5,22,29,0,0,0,9,29,0,4,14,0,0,0,0,0,0,0,44,0,0,40,0,0,8,23,0,0,0,19,27,0,24,3,0,31,52,0,20,27,28,0,25,0,22,19,0,30,0,0,0,0,17,12,0,15,0,0,0,30,0,24,16,0,18,13,1,29,19,21,0,0,0,0,15,0,0,15,0,0,7,0,0,20,9,0,0,0,11,0,0,19,0,0,0,12,0,0,6,11,17,0,0,0,0,0,23,5,0,15,0,0,59,0,0,0,18,11,9,0,0,27,23,20,7,0,0,0,0,0,0,0,14,8,0,7,0,0,0,24,18,9,0,0,0,10,16,0,23,0,0,0,22,16,0,11,0,0,0,7,11,12,4,21,0,0,23,0,0,0,0,0,0,0,0,0,6,15,0,0,0,0,0,0,10,10,21,0,0,8,0,33,0,0,0,33,0,13,0,0,0,15,0,0,9,0,0,6,14,0,12,0,0,0,0,0,0,0,0,0,0,0,13,5,0,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,11,12,0,0,0,0,0
